Size,Group,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,Score,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep2,Bla1,Bla2,Bla3
Small,Local,6,6,5,3,5,6,4,5,40,5,6,5,5,6,6,5,5,6,5,6
Small,Local,6,6,6,6,6,6,6,6,48,5,6,6,6,7,7,7,7,7,7,7
Small,Local,7,7,7,2,7,6,7,7,50,7,7,6,7,6,7,7,7,7,7,7
Small,Local,6,6,6,6,7,6,6,6,49,6,7,6,6,6,6,7,7,7,7,6
Small,Local,7,7,7,1,7,7,7,7,50,7,7,7,7,7,7,7,7,7,7,7
Small,Local,3,6,5,5,7,7,7,7,47,6,6,3,5,7,6,6,6,6,7,7
Small,Local,6,6,7,6,7,7,6,6,51,7,7,7,6,7,7,7,7,7,7,6
Small,Local,6,6,6,6,6,7,7,6,50,7,7,7,7,7,7,7,7,7,7,7
Small,Local,6,6,6,6,7,7,6,6,50,6,7,6,6,7,7,7,6,7,7,6
Small,Local,6,6,7,5,7,6,3,6,46,7,7,5,5,7,6,7,7,7,7,7
Small,Local,6,2,5,3,6,2,4,5,33,5,6,4,5,5,5,6,6,2,6,6
Small,Local,7,6,6,7,7,7,5,5,50,6,7,6,6,6,7,7,7,7,7,7
Small,Local,7,7,6,6,7,7,7,7,54,7,7,7,7,7,7,7,7,7,7,7
Small,Local,7,7,7,7,7,7,6,7,55,7,7,6,7,7,7,6,6,7,7,7
Small,Local,7,7,6,1,7,7,4,7,46,4,4,5,7,7,7,7,7,7,7,7
Small,Local,6,6,5,6,6,5,3,4,41,5,4,5,6,6,6,6,5,6,5,5
Small,Local,5,5,6,4,6,5,5,5,41,7,7,4,5,7,6,7,7,7,7,5
Small,Local,6,7,6,7,6,6,5,6,49,6,6,5,5,6,7,7,6,7,7,7
Small,Local,5,5,5,6,5,7,6,5,44,6,7,6,6,6,5,7,7,7,6,6
Small,Local,7,7,6,7,7,7,4,2,47,4,6,3,2,2,4,3,6,4,1,5
Small,Local,7,7,6,7,7,7,6,7,54,7,7,7,7,7,7,7,7,7,7,7
Small,Local,6,7,6,6,7,7,5,6,50,7,5,3,6,6,6,7,5,7,6,3
Small,Local,7,7,7,7,7,7,6,7,55,7,7,6,7,7,7,6,5,7,6,5
Small,Local,6,7,6,6,6,6,6,6,49,6,4,6,6,7,7,6,5,7,7,7
Small,Local,6,6,6,6,7,5,4,5,45,6,6,2,3,4,6,2,4,6,4,3
Small,Local,7,7,7,7,7,6,6,6,53,6,5,7,6,6,7,5,6,6,6,6
Small,Local,7,7,7,7,7,7,7,6,55,7,7,6,7,7,7,6,7,7,7,7
Small,Local,7,7,6,7,7,7,6,7,54,7,7,7,7,7,7,6,7,7,7,7
